"gene_accession_id","disease_id"
"MGI:4835254","DOID:1612"
"MGI:4835255","DOID:1612"
"MGI:4835256","DOID:1612"
"MGI:4835257","DOID:1612"
"MGI:4838054","DOID:1612"
"MGI:1352467","DOID:1612"
"MGI:5013908","DOID:1612"
"MGI:96079","DOID:1612"
"MGI:1929640","DOID:1612"
"MGI:5296681","DOID:1612"
"MGI:5524077","DOID:1612"
"MGI:5824242","DOID:1612"
"MGI:5805221","DOID:1612"
"MGI:5428744","DOID:1612"
"MGI:5775595","DOID:1612"
"MGI:5762985","DOID:1612"
"MGI:3040886","DOID:1612"
"MGI:97250","DOID:1612"
"MGI:3040315","DOID:1612"
"MGI:3037894","DOID:1612"
"MGI:3039368","DOID:1612"
"MGI:96969","DOID:1612"
"MGI:3039388","DOID:1612"
"MGI:5432253","DOID:1612"
"MGI:3039532","DOID:1612"
"MGI:2684868","DOID:14775"
"MGI:1347007","DOID:0060231"
"MGI:98251","DOID:0110218"
"MGI:1918882","DOID:0110224"
"MGI:96915","DOID:0060693"
"MGI:96699","DOID:0060877"
"MGI:88590","DOID:11211"
"MGI:98880","DOID:11211"
"MGI:1347466","DOID:11211"
"MGI:97250","DOID:8584"
"MGI:2448238","DOID:8584"
"MGI:2673278","DOID:8584"
"MGI:99460","DOID:0111035"
"MGI:4429554","DOID:0111035"
"MGI:98371","DOID:0050463"
"MGI:104554","DOID:4997"
"MGI:87914","DOID:3613"
"MGI:98352","DOID:3613"
"MGI:891996","DOID:9280"
"MGI:3649059","DOID:0061116"
"MGI:4843140","DOID:0050471"
"MGI:104878","DOID:0050471"
"MGI:1098296","DOID:0090129"
"MGI:99833","DOID:0061098"
"MGI:109611","DOID:0090128"
"MGI:88442","DOID:83"
"MGI:104698","DOID:83"
"MGI:5582276","DOID:83"
"MGI:96399","DOID:83"
"MGI:96305","DOID:83"
"MGI:87872","DOID:83"
"MGI:104990","DOID:83"
"MGI:2152879","DOID:83"
"MGI:2387466","DOID:83"
"MGI:97387","DOID:83"
"MGI:87996","DOID:83"
"MGI:1916380","DOID:83"
"MGI:97490","DOID:83"
"MGI:95391","DOID:83"
"MGI:107542","DOID:83"
"MGI:88525","DOID:83"
"MGI:88521","DOID:83"
"MGI:1336155","DOID:83"
"MGI:88040","DOID:83"
"MGI:88048","DOID:83"
"MGI:88272","DOID:83"
"MGI:98533","DOID:83"
"MGI:1913283","DOID:83"
"MGI:2443101","DOID:83"
"MGI:98266","DOID:83"
"MGI:88518","DOID:0110258"
"MGI:95714","DOID:0110253"
"MGI:96990","DOID:0110251"
"MGI:88516","DOID:0110250"
"MGI:104698","DOID:0110263"
"MGI:3606781","DOID:0110263"
"MGI:99953","DOID:0110231"
"MGI:1298216","DOID:0110240"
"MGI:96909","DOID:0110256"
"MGI:88523","DOID:0110235"
"MGI:88524","DOID:0110235"
"MGI:5313497","DOID:0110235"
"MGI:4365645","DOID:0110248"
"MGI:98932","DOID:0110248"
"MGI:88522","DOID:0110236"
"MGI:88519","DOID:0110269"
"MGI:88524","DOID:0110234"
"MGI:5810680","DOID:0110255"
"MGI:1347058","DOID:0110255"
"MGI:95278","DOID:0110229"
"MGI:88515","DOID:0110266"
"MGI:99685","DOID:0060675"
"MGI:1309469","DOID:0060676"
"MGI:1923605","DOID:0081122"
"MGI:2448730","DOID:0060694"
"MGI:1914724","DOID:0060337"
"MGI:104611","DOID:0081030"
"MGI:2181178","DOID:0112309"
"MGI:1201678","DOID:0111742"
"MGI:2384924","DOID:0060670"
"MGI:1928396","DOID:0060671"
"MGI:2147834","DOID:0050800"
"MGI:98342","DOID:0111248"
"MGI:1914719","DOID:0050729"
"MGI:5285196","DOID:0110163"
"MGI:1338002","DOID:0110167"
"MGI:103147","DOID:0110175"
"MGI:2684789","DOID:0110169"
"MGI:2445096","DOID:0110170"
"MGI:99954","DOID:0110171"
"MGI:1921772","DOID:0110181"
"MGI:2147627","DOID:0110199"
"MGI:103099","DOID:0110203"
"MGI:2388171","DOID:0110148"
"MGI:5817403","DOID:0110148"
"MGI:4819407","DOID:0110148"
"MGI:97631","DOID:0110148"
"MGI:2388307","DOID:0110148"
"MGI:3794527","DOID:0110148"
"MGI:5779545","DOID:0110148"
"MGI:2388151","DOID:0110152"
"MGI:2388150","DOID:0110152"
"MGI:5824050","DOID:0110152"
"MGI:5824051","DOID:0110152"
"MGI:103177","DOID:0110152"
"MGI:2388149","DOID:0110152"
"MGI:1929512","DOID:0110151"
"MGI:5478740","DOID:0110151"
"MGI:97631","DOID:0110153"
"MGI:108426","DOID:0110154"
"MGI:2442230","DOID:0110155"
"MGI:5476532","DOID:0110155"
"MGI:4440921","DOID:0110155"
"MGI:6198712","DOID:0110155"
"MGI:105068","DOID:0110159"
"MGI:96794","DOID:0110156"
"MGI:2449057","DOID:0110164"
"MGI:4819092","DOID:0110165"
"MGI:97313","DOID:0110165"
"MGI:5140990","DOID:0110165"
"MGI:103177","DOID:0050540"
"MGI:5824054","DOID:0050540"
"MGI:5824053","DOID:0050540"
"MGI:97631","DOID:0050540"
"MGI:1924366","DOID:0110191"
"MGI:1921831","DOID:0110190"
"MGI:1925230","DOID:0110194"
"MGI:2444417","DOID:0110183"
"MGI:1341799","DOID:0110186"
"MGI:95296","DOID:0110195"
"MGI:2183747","DOID:0110192"
"MGI:5014373","DOID:0110184"
"MGI:2143585","DOID:0110184"
"MGI:1914703","DOID:0080068"
"MGI:95719","DOID:0110209"
"MGI:2448567","DOID:0050834"
"MGI:98834","DOID:0050834"
"MGI:2444748","DOID:0050834"
"MGI:1337008","DOID:0050946"
"MGI:1354724","DOID:0050946"
"MGI:104672","DOID:0060563"
"MGI:107448","DOID:2935"
"MGI:1346349","DOID:1856"
"MGI:87983","DOID:0110915"
"MGI:97569","DOID:1949"
"MGI:2444681","DOID:0060644"
"MGI:1915720","DOID:0112224"
"MGI:2444304","DOID:0050766"
"MGI:892979","DOID:9821"
"MGI:3038694","DOID:2626"
"MGI:2443511","DOID:0060825"
"MGI:5473819","DOID:0060389"
"MGI:1338938","DOID:0060389"
"MGI:2158505","DOID:0060394"
"MGI:6150621","DOID:0060394"
"MGI:5908014","DOID:0060394"
"MGI:7490276","DOID:0060404"
"MGI:6342924","DOID:0060434"
"MGI:109239","DOID:0060410"
"MGI:1196251","DOID:0060410"
"MGI:2138319","DOID:0060412"
"MGI:6729273","DOID:0060413"
"MGI:2677647","DOID:0060413"
"MGI:5516001","DOID:0060437"
"MGI:2670972","DOID:0060732"
"MGI:5571365","DOID:1040"
"MGI:3841582","DOID:1040"
"MGI:4437007","DOID:1040"
"MGI:4820815","DOID:1040"
"MGI:4850006","DOID:1040"
"MGI:4850028","DOID:1040"
"MGI:5305081","DOID:1040"
"MGI:5315448","DOID:1040"
"MGI:1891700","DOID:8552"
